transaction_id,customer_id,customer_name,customer_age,gender,product_id,product_name,product_category,quantity,price,payment_mode,purchase_date,time_of_purchase,status,total_amount
TXN132714,CUST9088,Samaira Bora,29,Female,P9223,Sunglasses,Accessories,4,13828,UPI,2023-09-16,17:36:13,cancelled,55312
TXN855235,CUST5938,Yashvi Sachar,44,Male,P6308,Smartwatch,Electronics,3,11214,EMI,2023-08-26,16:59:09,delivered,33642
TXN570157,CUST1985,Rhea Manda,45,Female,P5718,Wardrobe,Furniture,4,6120,EMI,2023-11-23,00:43:18,delivered,24480
TXN812961,CUST8436,Siya Mane,39,Male,P1599,Vegetables,Groceries,4,7564,EMI,2023-12-08,11:27:03,returned,30256
TXN352074,CUST9479,Nehmat Choudhary,49,Male,P2105,Fruits,Groceries,4,19380,Debit Card,2023-09-12,20:52:07,pending,77520
TXN493697,CUST5865,Ira Bora,39,Male,P9651,Laptop,Electronics,4,7752,Credit Card,2023-01-18,03:17:07,delivered,31008
TXN477631,CUST1468,Myra Joshi,46,Male,P4617,Shirt,Clothing,3,4188,Cash,2023-06-18,01:46:50,returned,12564
TXN553240,CUST1003,Mahika Saini,35,Male,P5769,Wallet,Accessories,4,1412,Credit Card,2023-03-12,08:45:44,cancelled,5648
TXN470513,CUST1514,Prerak Tiwari,20,Female,P8911,Fruits,Groceries,2,2492,Cash,2023-12-22,03:39:23,cancelled,4984
TXN202873,CUST1619,Anahi Tak,31,Female,P5908,Fruits,Groceries,4,7924,Debit Card,2023-09-13,06:02:13,delivered,31696
TXN864714,CUST3978,Devansh Kara,38,Male,P6639,Vegetables,Groceries,4,13212,EMI,2023-05-02,15:40:51,pending,52848
TXN685202,CUST8085,Rati Tara,24,Female,P6034,Comics,Books,3,11301,Credit Card,2023-08-15,01:06:51,cancelled,33903
TXN125975,CUST4876,Shanaya Kanda,18,Female,P9696,Milk,Groceries,2,7278,Credit Card,2023-04-17,22:17:44,cancelled,14556
TXN131921,CUST7979,Hrishita Hora,47,Female,P5175,Smartwatch,Electronics,3,1149,Debit Card,2023-03-12,12:13:30,returned,3447
TXN369581,CUST1932,Indranil Shah,58,Male,P2868,Milk,Groceries,1,2740,Credit Card,2023-11-16,21:54:44,cancelled,2740
TXN159234,CUST2974,Jayant Bansal,55,Male,P8443,Bed,Furniture,2,978,Credit Card,2023-08-27,07:10:26,cancelled,1956
TXN954376,CUST1214,Nehmat Batta,39,Male,P9488,Chair,Furniture,1,2334,EMI,2023-08-17,23:11:40,delivered,2334
TXN388534,CUST2544,Ryan Shah,50,Male,P6872,Headphones,Electronics,5,11035,Credit Card,2023-07-29,07:11:29,returned,55175
TXN945083,CUST4053,Seher Randhawa,59,Female,P8036,Wardrobe,Furniture,2,2052,Credit Card,2023-08-10,14:51:27,returned,4104
TXN104983,CUST3406,Lavanya Sastry,53,Female,P7916,Vegetables,Groceries,1,2435,Cash,2023-04-11,05:43:30,delivered,2435
TXN649246,CUST8477,Kiara Bahri,34,Female,P2369,Shirt,Clothing,3,2220,EMI,2023-03-28,04:21:56,delivered,6660
TXN282727,CUST5696,Hiran Koshy,46,Male,P5928,Headphones,Electronics,3,11940,Credit Card,2023-09-03,03:30:14,returned,35820
TXN306487,CUST5569,Seher Hegde,46,Female,P9794,Sweater,Clothing,1,3000,Credit Card,2023-06-10,16:26:43,cancelled,3000
